Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Al links are accessible,Chrome 73.0.3683.86,,2019-04-08 17:22:30,2019-04-08 17:25:39,3m - 8.472s,FAILED
,,,,,,
Test Cases/All Links are Accessible/Cart,Chrome 73.0.3683.86,,2019-04-08 17:22:31,2019-04-08 17:22:59,28.281s,PASSED
"comment(""Verifying Whether Links are Working or not when we click on Cart Icon"")",Chrome 73.0.3683.86,,2019-04-08 17:22:31,2019-04-08 17:22:31,0.144s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,Opening the browser,2019-04-08 17:22:31,2019-04-08 17:22:38,7.285s,PASSED
"navigateToUrl(""http://192.168.0.28:90/list"")",Chrome 73.0.3683.86,MCCC URL,2019-04-08 17:22:38,2019-04-08 17:22:48,10.014s,PASSED
"click(findTestObject(""All links are Accessible/Cart""))",Chrome 73.0.3683.86,Click on Cart Icon,2019-04-08 17:22:48,2019-04-08 17:22:54,5.446s,PASSED
"verifyTextPresent(""Basket"", false)",Chrome 73.0.3683.86,Verifying whether it is actual page or not ,2019-04-08 17:22:54,2019-04-08 17:22:54,0.136s,PASSED
"getAllLinksOnCurrentPage(false, [])",Chrome 73.0.3683.86,Getting Total Number of links in that particular page,2019-04-08 17:22:54,2019-04-08 17:22:55,0.609s,PASSED
"verifyAllLinksOnCurrentPageAccessible(false, [])",Chrome 73.0.3683.86,Verifying all Links on that particular page or working or not,2019-04-08 17:22:55,2019-04-08 17:22:59,4.153s,PASSED
,,,,,,
Test Cases/All Links are Accessible/Country,Chrome 73.0.3683.86,,2019-04-08 17:22:59,2019-04-08 17:23:13,14.157s,PASSED
"comment(""Verifying Whether Links are Working or not when we click on Country Buynow"")",Chrome 73.0.3683.86,,2019-04-08 17:22:59,2019-04-08 17:22:59,0.004s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,Opening the browser,2019-04-08 17:22:59,2019-04-08 17:23:03,3.622s,PASSED
"navigateToUrl(""http://192.168.0.28:90/detail/7/COUNTRY/2"")",Chrome 73.0.3683.86,MCCC Country page URL,2019-04-08 17:23:03,2019-04-08 17:23:06,3.093s,PASSED
delay(5),Chrome 73.0.3683.86,,2019-04-08 17:23:06,2019-04-08 17:23:11,5.013s,PASSED
"verifyTextPresent(""COUNTRY MEMBERSHIP"", false)",Chrome 73.0.3683.86,Verifying whether it is actual page or not ,2019-04-08 17:23:11,2019-04-08 17:23:11,0.131s,PASSED
"getAllLinksOnCurrentPage(false, [])",Chrome 73.0.3683.86,Getting Total Number of links in that particular page,2019-04-08 17:23:11,2019-04-08 17:23:12,0.565s,PASSED
"verifyAllLinksOnCurrentPageAccessible(false, [])",Chrome 73.0.3683.86,Verifying all Links on that particular page or working or not,2019-04-08 17:23:12,2019-04-08 17:23:13,1.474s,PASSED
,,,,,,
"Test Cases/All Links are Accessible/Delivery,Returns and cancellations",Chrome 73.0.3683.86,,2019-04-08 17:23:13,2019-04-08 17:23:22,8.914s,FAILED
"comment(""Verifying Whether Links are Working or not when we click on Delivery,Returns and cancellations link page"")",Chrome 73.0.3683.86,,2019-04-08 17:23:13,2019-04-08 17:23:13,0.002s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,"Open browser
",2019-04-08 17:23:13,2019-04-08 17:23:17,3.922s,PASSED
"navigateToUrl(""http://192.168.0.28:90/list"")",Chrome 73.0.3683.86,MCCC URL,2019-04-08 17:23:17,2019-04-08 17:23:20,2.526s,PASSED
"click(findTestObject(""All links are Accessible/Delivery,Returns and cancellations/Page_Middlesex Cricket Memberships/small_Delivery Returns and Cancellations""))",Chrome 73.0.3683.86,"Click on Delivery,Returns and cancellations link",2019-04-08 17:23:20,2019-04-08 17:23:20,0.135s,PASSED
switchToWindowIndex(1),Chrome 73.0.3683.86,As above link is Navigating to another window we are using Switch to window index,2019-04-08 17:23:20,2019-04-08 17:23:20,0.025s,PASSED
"verifyTextPresent(""DELIVERY, RETURNS & CANCELLATIONS"", false)",Chrome 73.0.3683.86,Verifying whether it is actual page or not ,2019-04-08 17:23:20,2019-04-08 17:23:21,1.136s,PASSED
