Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
URL Verification,Chrome 73.0.3683.86,,2019-04-08 16:58:37,2019-04-08 17:00:53,2m - 16.098s,PASSED
,,,,,,
Test Cases/URL Verifications/Buynow country URL,Chrome 73.0.3683.86,,2019-04-08 16:58:37,2019-04-08 16:59:07,29.717s,PASSED
"comment(""Verifying Country Buynow URL Navigation"")",Chrome 73.0.3683.86,,2019-04-08 16:58:38,2019-04-08 16:58:38,0.146s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,Opening browser,2019-04-08 16:58:38,2019-04-08 16:59:02,23.916s,PASSED
"navigateToUrl(""http://192.168.0.28:90/list"")",Chrome 73.0.3683.86,Navigating to MCCC URL,2019-04-08 16:59:02,2019-04-08 16:59:05,3.686s,PASSED
"scrollToElement(findTestObject(""URL Verifications/Buynow Country URL/Country BUY NOW button""), 0)",Chrome 73.0.3683.86,Scroll upto Country buynow button,2019-04-08 16:59:05,2019-04-08 16:59:06,0.340s,PASSED
"click(findTestObject(""URL Verifications/Buynow Country URL/Country BUY NOW button""))",Chrome 73.0.3683.86,Click Country buynow button,2019-04-08 16:59:06,2019-04-08 16:59:07,1.230s,PASSED
"assert getUrl() == ""http://192.168.0.28:90/detail/7/COUNTRY/2""",Chrome 73.0.3683.86,Verifying actual URL with expected URL,2019-04-08 16:59:07,2019-04-08 16:59:07,0.029s,PASSED
,,,,,,
Test Cases/URL Verifications/Buynow disabled full URL,Chrome 73.0.3683.86,,2019-04-08 16:59:07,2019-04-08 16:59:24,17.014s,PASSED
"comment(""Verifying Disabled buynow URL navigation"")",Chrome 73.0.3683.86,,2019-04-08 16:59:07,2019-04-08 16:59:07,0.003s,PASSED
"openBrowser("""")",Chrome 73.0.3683.86,Opening browser,2019-04-08 16:59:07,2019-04-08 16:59:12,4.382s,PASSED
"navigateToUrl(""http://192.168.0.28:90/list"")",Chrome 73.0.3683.86,Navigate to MCCC URL,2019-04-08 16:59:12,2019-04-08 16:59:23,11.639s,PASSED
"scrollToElement(findTestObject(""URL Verifications/Buynow disabled URL/Disabled BUY NOW button""), 0)",Chrome 73.0.3683.86,scroll upto disabled buynow url,2019-04-08 16:59:23,2019-04-08 16:59:23,0.055s,PASSED
"click(findTestObject(""URL Verifications/Buynow disabled URL/Disabled BUY NOW button""))",Chrome 73.0.3683.86,Click on disabled buynow url,2019-04-08 16:59:23,2019-04-08 16:59:24,0.702s,PASSED
"assert getUrl() == ""http://192.168.0.28:90/detail/10/DISABLED_FULL/9""",Chrome 73.0.3683.86,Verifying actual url with expected url,2019-04-08 16:59:24,2019-04-08 16:59:24,0.013s,PASSED
,,,,,,
